Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Mpv17,Akap9,1,1,0,7,AD_specific
Kcng3,Exoc6b,1,1,1,0,WT_specific
Parp11,Adarb2,1,1,2,8,Shared
St3gal2,Rint1,1,1,1,0,WT_specific
Snapc3,Abl1,1,1,0,11,AD_specific
Odf2l,Itgb1bp2,1,1,1,0,WT_specific
Ppp1r9a,Klhl33,1,1,0,2,AD_specific
Scarf2,Fgf13,1,1,0,1,AD_specific
Rufy2,Ccdc85a,1,1,1,1,Shared
LOC118568705,Gm46911,1,1,0,5,AD_specific
Lpp,Kcnd2,1,1,8,0,WT_specific
Zfp948,Nfkb2,1,1,1,0,WT_specific
Ptcra,Leo1,1,1,0,1,AD_specific
LOC118568300,Cers4,1,1,2,0,WT_specific
Lrrc61,Hivep2,1,1,1,0,WT_specific
Klhdc7b,Ifnar1,1,1,6,1,Shared
Snrnp35,Mc1r,1,0,1,0,WT_specific
Tuba8,Disp3,1,0,1,0,WT_specific
Klhl41,Dmtf1,1,1,1,0,WT_specific
Rapgef2,Ino80,1,1,4,0,WT_specific
Gm32966,Gm2977,1,1,0,3,AD_specific
Rbm28,Mef2c,1,1,0,1,AD_specific
Gsap,Acad9,1,1,13,37,Shared
Slc16a14,Psma3,1,1,0,1,AD_specific
Mfap1a,C1rl,1,0,1,0,WT_specific
Gm4631,Cd84,1,1,1,0,WT_specific
Snx24,Lsm6,1,1,1,0,WT_specific
Pag1,Gcm1,1,1,6,0,WT_specific
Rpn2,Gmpr2,1,1,2,0,WT_specific
Trmt10a,Gm31606,1,1,1,0,WT_specific
Zfp316,Prkn,1,1,0,12,AD_specific
Syn3,Erc1,1,1,2,0,WT_specific
Trim36,Sco1,1,1,1,0,WT_specific
Ntrk3,LOC118567439,1,1,0,1,AD_specific
LOC118568593,Anks1b,1,1,11,27,Shared
Pou1f1,Lrrk2,1,1,1,0,WT_specific
Ptov1,Adat1,1,1,0,1,AD_specific
Rbm28,Arih2,1,1,1,0,WT_specific
Gm4841,Fan1,1,1,0,1,AD_specific
Mvb12b,Gm4841,1,1,1,0,WT_specific
Wnt4,2210408I21Rik,1,1,0,2,AD_specific
Trim25,Hpca,1,1,1,0,WT_specific
Mrpl27,Map4,1,1,1,0,WT_specific
Tab2,Hectd2,1,1,1,0,WT_specific
Rere,Hs3st2,1,1,0,1,AD_specific
Atad2b,Aqp7,1,1,0,3,AD_specific
Negr1,Kcnd2,1,1,0,8,AD_specific
Itgb1bp2,Ermard,1,1,0,3,AD_specific
Kcnj6,Ccnl2,1,1,0,12,AD_specific
Lcmt2,Chrna1,1,1,0,3,AD_specific
Inpp1,Alkbh8,1,1,5,8,Shared
Tex47,Ms4a12,1,1,2,0,WT_specific
Cep290,Aig1,1,1,0,1,AD_specific
Slx1b,Fuom,1,1,0,1,AD_specific
Rorb,Cdh7,1,1,1,0,WT_specific
Slc12a8,Hnrnpf,1,1,12,0,WT_specific
Tigar,Tasl,1,1,0,1,AD_specific
Pi15,Ifnar2,1,1,4,3,Shared
Senp7,Fbxl17,1,1,0,3,AD_specific
St3gal1,Plscr3,1,1,2,0,WT_specific
Tmem63c,Cacna1b,1,0,3,0,WT_specific
Mta3,Mfsd4b5,1,1,0,1,AD_specific
Zfp933,Slc12a8,1,1,1,0,WT_specific
Sp110,Cntnap5c,1,1,2,0,WT_specific
Ube2w,Ckap5,1,1,0,1,AD_specific
Sptbn1,Dyrk1b,1,1,2,0,WT_specific
Asph,Adgrl3,1,1,1,0,WT_specific
St3gal1,0610030E20Rik,1,1,0,1,AD_specific
Pax1,Grip1,1,1,1,0,WT_specific
Gm52229,Arhgap39,1,1,5,17,Shared
Unc79,Iars2,1,1,0,17,AD_specific
Zfp933,Lrrc74b,1,1,1,0,WT_specific
Zbtb24,Cox5a,1,1,0,1,AD_specific
Zbtb21,Nipsnap1,1,1,1,0,WT_specific
Desi2,2210408I21Rik,1,1,0,1,AD_specific
Pi15,Ighmbp2,1,1,3,1,Shared
Slc38a11,Rapgef2,1,1,0,1,AD_specific
Rtl1,Marchf4,1,1,1,0,WT_specific
Slc6a5,0610030E20Rik,1,1,1,0,WT_specific
Egflam,Cradd,1,1,5,11,Shared
Gm9949,Gm46058,1,0,1,0,WT_specific
Crip3,Acad9,1,1,135,124,Shared
Tnfrsf11a,Frmd3,1,1,1,0,WT_specific
